subject	rt	evidence_id	evidence	item	response	slide_number_in_experiment	screenW	screenH	OS	Browser	language	enjoyment	gender	age	comments	asses	time_in_minutes
36	20292	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.72	5	1280	768	Windows	Chrome	Urdu	2	Female	22		Confused	2.59898333333
36	28098	evidence4	Sie haben Kopfhörer auf und hören Musik, wissen aber, dass der Hund der Nachbarn abends oft bellt.	hund	0.52	6	1280	768	Windows	Chrome	Urdu	2	Female	22		Confused	2.59898333333
37	58978	evidence1	Sie schauen aus dem Fenster und sehen Struppi, den Hund der Nachbarn, wie er am Zaun steht und bellt.	hund	1	3	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
37	25306	evidence1	Sie trinken einen Schluck Kaffee und stellen fest, dass er kalt ist.	kaffee	1	4	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
37	32134	evidence5	Sie haben Hunger.	abendessen	0.11	5	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
37	42982	evidence3	Sie sehen, wie jemand mit nassen Haaren und durchnässten Kleidern von draußen hereinkommt.	regen	0.92	6	1920	1080	Windows	Chrome	Englisch, Hebräisch	1	Female	47		Yes	5.1174
38	40818	evidence5	Sie wissen, dass sich die Nachbarn gerade einen Hund angeschafft haben.	hund	0.28	3	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
38	15902	evidence2	Sie können hören, wie Wasser auf das Dach prasselt.	regen	0.93	4	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
38	9908	evidence5	Sie haben Hunger.	abendessen	0	5	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
38	21028	evidence2	Sie berühren die Kaffeetasse und stellen fest, dass sie kalt ist.	kaffee	0.8	6	1360	768	Windows	Firefox	Deutsch	1	Male	28	Der Abstraktionsgrad der Fragen ist unsicher. Ich bin daher von der wahrscheinlichsten Antwort in meiner Lebenssituation ausgegangen.	Yes	4.54015
